method_name,numpy,vector
sqr_magnitude,0.13706354098394513,0.0067607759847305715
magnitude,0.14439633197616786,0.008517183014191687
normalized,0.144791184051428,0.0858536139712669
dot,0.02582196402363479,0.014141417981591076
angle,0.2847662889980711,0.01599461497971788
equals,0.08726276800734922,0.023922257008962333
clamp_magnitude,0.18299376597860828,0.10464274196419865
distance,0.1106339999823831,0.012986264016944915
lerp_unclamped,0.06908462202409282,0.08774170198012143
max,0.013952369976323098,0.09172108396887779
min,0.015836005040910095,0.08814848796464503
perpendicular,0.021777049987576902,0.1294720339938067
move_towards,0.17574552103178576,0.10267406201455742
reflect,0.1280706800171174,0.08510844601551071
scale,0.036241376015823334,0.088451454997994
signed_angle,0.9596776709659025,0.015060093021020293
